2019-08-02 18:48:56.995 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2019-08-02 18:48:57.006 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2019-08-02 18:48:57.013 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2019-08-02 18:48:57.014 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.21]
2019-08-02 18:48:57.090 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-08-02 18:48:57.091 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1025 ms
2019-08-02 18:48:57.131 [main] INFO  org.ethan.eRpc.consumer.invoke.ERpcConsumerInvoker - ERpc Provider not enable
2019-08-02 18:48:57.229 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-08-02 18:48:57.411 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2019-08-02 18:48:57.427 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2019-08-02 18:48:57.429 [main] INFO  o.ethan.eRpc.comsumerdemo.ConsumerDemoApplication - Started ConsumerDemoApplication in 1.676 seconds (JVM running for 1.938)
2019-08-02 18:49:03.435 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-08-02 18:49:03.435 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2019-08-02 18:49:03.439 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 4 ms
2019-08-02 18:50:26.683 [main] INFO  o.ethan.eRpc.comsumerdemo.ConsumerDemoApplication - Starting ConsumerDemoApplication on WIN-T1VJ0PHFT0F with PID 21184 (F:\mygit\eRpc\consumer-demo\target\classes started by Admin in F:\mygit\eRpc\consumer-demo)
2019-08-02 18:50:26.684 [main] INFO  o.ethan.eRpc.comsumerdemo.ConsumerDemoApplication - No active profile set, falling back to default profiles: default
2019-08-02 18:50:27.122 [main] INFO  o.s.c.annotation.ConfigurationClassPostProcessor - Cannot enhance @Configuration bean definition 'ERpcPoxyCreator' since its singleton instance has been created too early. The typical cause is a non-static @Bean method with a BeanDefinitionRegistryPostProcessor return type: Consider declaring such methods as 'static'.
2019-08-02 18:50:27.639 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
